uid,task,valid,source_file
gphn,Personal Narrative,Yes,our_preprocessed_test.csv
gpjt,Picture Description,Yes,our_preprocessed_train.csv
gplj,Picture Description,Yes,our_preprocessed_train.csv
gpps,Other,Yes,our_preprocessed_train.csv
gpvt,Picture Description,Yes,our_preprocessed_test.csv
gqfg,Picture Description,Yes,our_preprocessed_train.csv
gqio,Sentence Reading,Yes,our_preprocessed_train.csv
grnj,Sentence Reading,Yes,our_preprocessed_test.csv
grpn,Picture Description,Yes,our_preprocessed_train.csv
grxg,Picture Description,Yes,our_preprocessed_train.csv
gszd,Sentence Reading,Yes,our_preprocessed_train.csv
gtcz,Picture Description,Yes,our_preprocessed_validation.csv
gtkk,Picture Description,Yes,our_preprocessed_validation.csv
gttf,Picture Description,Yes,our_preprocessed_train.csv
guab,Sentence Reading,Yes,our_preprocessed_train.csv
guhr,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
gvte,Picture Description,Yes,our_preprocessed_validation.csv
gvwj,Picture Description,Yes,our_preprocessed_train.csv
gwby,Picture Description,Yes,our_preprocessed_train.csv
gxhx,Picture Description,Yes,our_preprocessed_train.csv
gxjc,Picture Description,Yes,our_preprocessed_train.csv
gxkt,Picture Description,Yes,our_preprocessed_train.csv
gxnx,Picture Description,Yes,our_preprocessed_test.csv
gxyh,Voice Assistant,Yes,our_preprocessed_train.csv
gybc,Picture Description,Yes,our_preprocessed_train.csv
gycc,Picture Description,Yes,our_preprocessed_validation.csv
gygo,Picture Description,Yes,our_preprocessed_train.csv
gylx,Picture Description,Yes,our_preprocessed_train.csv
gyvr,Picture Description,Yes,our_preprocessed_train.csv
gyyc,Picture Description,Yes,our_preprocessed_train.csv
gyys,Picture Description,Yes,our_preprocessed_train.csv
gzoz,Picture Description,No,our_preprocessed_train.csv
gzre,Picture Description,Yes,our_preprocessed_validation.csv
gzxn,Picture Description,Yes,our_preprocessed_train.csv
gzys,Picture Description,Yes,our_preprocessed_train.csv
haon,Picture Description,Yes,our_preprocessed_train.csv
hauo,Picture Description,Yes,our_preprocessed_train.csv
hcjd,Picture Description,Yes,our_preprocessed_test.csv
hcqi,Picture Description,Yes,our_preprocessed_train.csv
hctf,Picture Description,Yes,our_preprocessed_test.csv
hcwt,Sentence Reading,Yes,our_preprocessed_validation.csv
hdhj,Sentence Reading,Yes,our_preprocessed_train.csv
hdmx,Picture Description,Yes,our_preprocessed_train.csv
hdru,Picture Description,Yes,our_preprocessed_train.csv
heac,Picture Description,Yes,our_preprocessed_train.csv
heav,Sentence Reading,Yes,our_preprocessed_validation.csv
hebu,Picture Description,Yes,our_preprocessed_train.csv
heuo,Picture Description,Yes,our_preprocessed_train.csv
heut,Picture Description,Yes,our_preprocessed_train.csv
hevn,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
hfdx,Picture Description,Yes,our_preprocessed_train.csv
hfit,Sentence Reading,Yes,our_preprocessed_test.csv
hfzf,Picture Description,Yes,our_preprocessed_train.csv
hgnb,Sentence Reading,Yes,our_preprocessed_validation.csv
hgpf,Picture Description,Yes,our_preprocessed_train.csv
hhuv,Picture Description,Yes,our_preprocessed_test.csv
hhyq,Sentence Reading,Yes,our_preprocessed_train.csv
hihw,Picture Description,Yes,our_preprocessed_train.csv
hiol,Picture Description,Yes,our_preprocessed_train.csv
hjce,Sentence Reading,Yes,our_preprocessed_train.csv
hjei,Picture Description,No,our_preprocessed_train.csv
hjiq,Picture Description,Yes,our_preprocessed_validation.csv
hkan,Picture Description,Yes,our_preprocessed_train.csv
hkcu,Picture Description,Yes,our_preprocessed_validation.csv
hkmi,Picture Description,Yes,our_preprocessed_validation.csv
hlgs,Picture Description,Yes,our_preprocessed_test.csv
hlzr,Picture Description,Yes,our_preprocessed_train.csv
hmec,Picture Description,Yes,our_preprocessed_test.csv
hmoy,Picture Description,Yes,our_preprocessed_train.csv
hmut,Picture Description,Yes,our_preprocessed_validation.csv
hmva,Picture Description,Yes,our_preprocessed_train.csv
hmvw,Picture Description,Yes,our_preprocessed_test.csv
hmyy,Voice Assistant,Yes,our_preprocessed_test.csv
hnbq,Picture Description,Yes,our_preprocessed_train.csv
hneq,Sentence Reading,Yes,our_preprocessed_validation.csv
hnxg,Picture Description,Yes,our_preprocessed_train.csv
hoca,Picture Description,Yes,our_preprocessed_validation.csv
hotv,Personal Narrative,Yes,our_preprocessed_train.csv
hpbe,Picture Description,Yes,our_preprocessed_train.csv
hphq,Sentence Reading,Yes,our_preprocessed_train.csv
hpkr,Picture Description,Yes,our_preprocessed_train.csv
hpme,Voice Assistant,Yes,our_preprocessed_train.csv
hpzh,Picture Description,Yes,our_preprocessed_validation.csv
hqbo,Picture Description,Yes,our_preprocessed_train.csv
hqhr,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
hqic,Picture Description,Yes,our_preprocessed_train.csv
hqnn,Picture Description,Yes,our_preprocessed_train.csv
hqsp,Picture Description,Yes,our_preprocessed_validation.csv
hqup,Picture Description,Yes,our_preprocessed_validation.csv
hrbq,Picture Description,Yes,our_preprocessed_validation.csv
hrei,Personal Narrative,Yes,our_preprocessed_train.csv
hrii,Picture Description,Yes,our_preprocessed_train.csv
hriv,Picture Description,Yes,our_preprocessed_train.csv
hrwd,Sentence Reading,Yes,our_preprocessed_test.csv
htaw,Sentence Reading,Yes,our_preprocessed_train.csv
htch,Picture Description,Yes,our_preprocessed_train.csv
hubc,Picture Description,Yes,our_preprocessed_train.csv
huhl,Picture Description,Yes,our_preprocessed_train.csv
hujn,Sentence Reading,Yes,our_preprocessed_validation.csv
huld,Picture Description,Yes,our_preprocessed_test.csv
hvqy,Picture Description,Yes,our_preprocessed_test.csv
hwdj,Personal Narrative,Yes,our_preprocessed_train.csv
hwee,Sentence Reading,Yes,our_preprocessed_validation.csv
hwpi,Sentence Reading,Yes,our_preprocessed_train.csv
hwqk,Picture Description,Yes,our_preprocessed_train.csv
hwuy,Sentence Reading,Yes,our_preprocessed_train.csv
hxok,Picture Description,Yes,our_preprocessed_test.csv
hxya,Picture Description,Yes,our_preprocessed_train.csv
hycz,Picture Description,Yes,our_preprocessed_train.csv
hyum,Picture Description,Yes,our_preprocessed_train.csv
hzlb,Picture Description,Yes,our_preprocessed_train.csv
hztv,Picture Description,Yes,our_preprocessed_test.csv
hzwn,Picture Description,Yes,our_preprocessed_test.csv
iawr,Picture Description,Yes,our_preprocessed_train.csv
ibqy,Picture Description,Yes,our_preprocessed_train.csv
ibzi,Personal Narrative,Yes,our_preprocessed_test.csv
icqk,Picture Description,Yes,our_preprocessed_validation.csv
iddn,Sentence Reading,Yes,our_preprocessed_test.csv
idgh,Picture Description,Yes,our_preprocessed_train.csv
idqb,Picture Description,Yes,our_preprocessed_train.csv
idrl,Personal Narrative,Yes,our_preprocessed_train.csv
iefo,Voice Assistant,Yes,our_preprocessed_validation.csv
ieie,Picture Description,Yes,our_preprocessed_validation.csv
iejc,Picture Description,Yes,our_preprocessed_train.csv
ierj,Picture Description,Yes,our_preprocessed_validation.csv
ifnn,Sentence Reading,Yes,our_preprocessed_train.csv
ifos,Picture Description,Yes,our_preprocessed_test.csv
ifvd,Picture Description,Yes,our_preprocessed_test.csv
ifzt,Sentence Reading,Yes,our_preprocessed_validation.csv
igvb,Picture Description,Yes,our_preprocessed_train.csv
ihrz,Picture Description,Yes,our_preprocessed_train.csv
iiai,Picture Description,Yes,our_preprocessed_test.csv
iian,Picture Description,Yes,our_preprocessed_train.csv
ijjc,Picture Description,Yes,our_preprocessed_validation.csv
ijoi,Picture Description,Yes,our_preprocessed_validation.csv
ikbj,Sentence Reading,Yes,our_preprocessed_train.csv
iket,Picture Description,Yes,our_preprocessed_train.csv
ikgw,Picture Description,Yes,our_preprocessed_test.csv
iklv,Picture Description,Yes,our_preprocessed_train.csv
illn,Picture Description,Yes,our_preprocessed_train.csv
immd,Picture Description,Yes,our_preprocessed_train.csv
imzs,Picture Description,Yes,our_preprocessed_validation.csv
insv,Picture Description,Yes,our_preprocessed_train.csv
iock,Picture Description,Yes,our_preprocessed_train.csv
ioei,Picture Description,Yes,our_preprocessed_test.csv
iofx,Voice Assistant,Yes,our_preprocessed_test.csv
iopd,Semantic Verbal Fluency,Yes,our_preprocessed_test.csv
iopn,Other,Yes,our_preprocessed_validation.csv
ioyk,Picture Description,Yes,our_preprocessed_validation.csv
ipbv,Picture Description,Yes,our_preprocessed_train.csv
ipfe,Picture Description,Yes,our_preprocessed_train.csv
iphg,Picture Description,Yes,our_preprocessed_train.csv
ipru,Picture Description,Yes,our_preprocessed_validation.csv
iqhu,Voice Assistant,Yes,our_preprocessed_train.csv
iqjg,Picture Description,Yes,our_preprocessed_train.csv
iqkz,Picture Description,No,our_preprocessed_train.csv
iqzp,Voice Assistant,Yes,our_preprocessed_train.csv
iris,Picture Description,Yes,our_preprocessed_validation.csv
irli,Other,Yes,our_preprocessed_train.csv
irnb,Sentence Reading,Yes,our_preprocessed_train.csv
irvj,Picture Description,Yes,our_preprocessed_train.csv
irxs,Picture Description,Yes,our_preprocessed_test.csv
irym,Picture Description,Yes,our_preprocessed_test.csv
isre,Picture Description,Yes,our_preprocessed_train.csv
isrt,Voice Assistant,Yes,our_preprocessed_test.csv
itof,Picture Description,Yes,our_preprocessed_validation.csv
itps,Picture Description,Yes,our_preprocessed_train.csv
iude,Picture Description,Yes,our_preprocessed_validation.csv
iuuy,Picture Description,Yes,our_preprocessed_train.csv
ixoa,Picture Description,Yes,our_preprocessed_train.csv
iyca,Picture Description,Yes,our_preprocessed_test.csv
iyha,Story Recall,Yes,our_preprocessed_train.csv
iyho,Picture Description,Yes,our_preprocessed_validation.csv
iyzv,Picture Description,Yes,our_preprocessed_train.csv
izbb,Picture Description,Yes,our_preprocessed_validation.csv
iznw,Picture Description,Yes,our_preprocessed_validation.csv
izqr,Picture Description,Yes,our_preprocessed_train.csv
izyf,Picture Description,Yes,our_preprocessed_train.csv
jaes,Picture Description,Yes,our_preprocessed_train.csv
jana,Picture Description,Yes,our_preprocessed_validation.csv
jbjx,Sentence Reading,Yes,our_preprocessed_train.csv
jbni,Picture Description,Yes,our_preprocessed_train.csv
jbtb,Picture Description,Yes,our_preprocessed_train.csv
jcqe,Picture Description,Yes,our_preprocessed_train.csv
jcra,Voice Assistant,Yes,our_preprocessed_validation.csv
jdkn,Picture Description,Yes,our_preprocessed_test.csv
jefs,Picture Description,Yes,our_preprocessed_test.csv
jetz,Sentence Reading,Yes,our_preprocessed_train.csv
jfec,Sentence Reading,Yes,our_preprocessed_train.csv
jfom,Picture Description,Yes,our_preprocessed_validation.csv
jgcl,Sentence Reading,Yes,our_preprocessed_train.csv
jgst,Picture Description,Yes,our_preprocessed_train.csv
jgvz,Picture Description,Yes,our_preprocessed_train.csv
jhcw,Other,Yes,our_preprocessed_train.csv
jhcz,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
jhsf,Picture Description,Yes,our_preprocessed_train.csv
jhte,Picture Description,Yes,our_preprocessed_test.csv
jils,Picture Description,Yes,our_preprocessed_train.csv
jimd,Picture Description,Yes,our_preprocessed_train.csv
jjcj,Picture Description,Yes,our_preprocessed_train.csv
jjpd,Picture Description,Yes,our_preprocessed_train.csv
jjrz,Picture Description,Yes,our_preprocessed_train.csv
jkeb,Sentence Reading,Yes,our_preprocessed_test.csv
jkgz,Picture Description,Yes,our_preprocessed_test.csv
jkpy,Picture Description,Yes,our_preprocessed_test.csv
jktp,Other,Yes,our_preprocessed_train.csv
jkwv,Picture Description,Yes,our_preprocessed_test.csv
jkzh,Sentence Reading,Yes,our_preprocessed_train.csv
jlae,Sentence Reading,Yes,our_preprocessed_test.csv
jlcj,Picture Description,Yes,our_preprocessed_train.csv
jlfq,Picture Description,Yes,our_preprocessed_train.csv
jlge,Picture Description,Yes,our_preprocessed_train.csv
jlnt,Sentence Reading,Yes,our_preprocessed_test.csv
jmds,Picture Description,Yes,our_preprocessed_train.csv
jmji,Picture Description,Yes,our_preprocessed_validation.csv
jmoo,Voice Assistant,Yes,our_preprocessed_train.csv
jmyx,Picture Description,Yes,our_preprocessed_train.csv
jnia,Voice Assistant,Yes,our_preprocessed_train.csv
jnmb,Voice Assistant,Yes,our_preprocessed_train.csv
jnni,Picture Description,Yes,our_preprocessed_train.csv
jnpr,Picture Description,Yes,our_preprocessed_train.csv
jnpu,Picture Description,Yes,our_preprocessed_validation.csv
jnxi,Picture Description,Yes,our_preprocessed_validation.csv
jodn,Picture Description,Yes,our_preprocessed_train.csv
joee,Picture Description,Yes,our_preprocessed_train.csv
jogm,Picture Description,Yes,our_preprocessed_test.csv
joxx,Voice Assistant,Yes,our_preprocessed_train.csv
jozu,Picture Description,Yes,our_preprocessed_train.csv
jpro,Picture Description,Yes,our_preprocessed_train.csv
jqee,Picture Description,Yes,our_preprocessed_train.csv
jqka,Personal Narrative,Yes,our_preprocessed_train.csv
jqyc,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
jrad,Sentence Reading,Yes,our_preprocessed_train.csv
jrbu,Picture Description,Yes,our_preprocessed_train.csv
jrgq,Voice Assistant,Yes,our_preprocessed_train.csv
jrli,Voice Assistant,Yes,our_preprocessed_test.csv
jryz,Picture Description,Yes,our_preprocessed_train.csv
jsvu,Picture Description,Yes,our_preprocessed_validation.csv
jtep,Story Recall,Yes,our_preprocessed_train.csv
jtfe,Sentence Reading,Yes,our_preprocessed_train.csv
jtoz,Picture Description,Yes,our_preprocessed_train.csv
jtpj,Picture Description,Yes,our_preprocessed_validation.csv
juco,Picture Description,Yes,our_preprocessed_train.csv
jupu,Voice Assistant,Yes,our_preprocessed_train.csv
juws,Picture Description,Yes,our_preprocessed_test.csv
jveh,Picture Description,Yes,our_preprocessed_train.csv
jvsx,Picture Description,Yes,our_preprocessed_train.csv
jxjw,Sentence Reading,Yes,our_preprocessed_train.csv
jxlo,Sentence Reading,Yes,our_preprocessed_train.csv
jxrc,Picture Description,Yes,our_preprocessed_train.csv
jxyp,Picture Description,Yes,our_preprocessed_validation.csv
jygb,Voice Assistant,Yes,our_preprocessed_train.csv
jyok,Picture Description,Yes,our_preprocessed_validation.csv
jzbl,Picture Description,Yes,our_preprocessed_train.csv
jzcr,Picture Description,Yes,our_preprocessed_test.csv
jzhi,Picture Description,Yes,our_preprocessed_train.csv
jzpj,Picture Description,Yes,our_preprocessed_train.csv
jzxo,Picture Description,Yes,our_preprocessed_validation.csv
kamv,Picture Description,Yes,our_preprocessed_train.csv
kaof,Sentence Reading,Yes,our_preprocessed_train.csv
kbax,Picture Description,Yes,our_preprocessed_test.csv
kbtc,Picture Description,Yes,our_preprocessed_train.csv
kcrg,Picture Description,Yes,our_preprocessed_train.csv
kcyh,Picture Description,Yes,our_preprocessed_train.csv
kdai,Sentence Reading,Yes,our_preprocessed_train.csv
kdkz,Sentence Reading,Yes,our_preprocessed_test.csv
keec,Picture Description,Yes,our_preprocessed_train.csv
keeq,Picture Description,Yes,our_preprocessed_validation.csv
kegk,Picture Description,Yes,our_preprocessed_train.csv
ketv,Picture Description,Yes,our_preprocessed_validation.csv
kfdc,Story Recall,Yes,our_preprocessed_train.csv
kfdz,Picture Description,Yes,our_preprocessed_train.csv
kflj,Picture Description,Yes,our_preprocessed_validation.csv
kfms,Sentence Reading,Yes,our_preprocessed_train.csv
kgbm,Picture Description,Yes,our_preprocessed_validation.csv
kgca,Picture Description,Yes,our_preprocessed_train.csv
kgcy,Sentence Reading,Yes,our_preprocessed_train.csv
kgid,Picture Description,Yes,our_preprocessed_train.csv
khfk,Sentence Reading,Yes,our_preprocessed_validation.csv
khhp,Picture Description,Yes,our_preprocessed_train.csv
khso,Sentence Reading,Yes,our_preprocessed_train.csv
khvp,Picture Description,Yes,our_preprocessed_train.csv
kieh,Picture Description,Yes,our_preprocessed_test.csv
kigg,Picture Description,Yes,our_preprocessed_train.csv
kihu,Picture Description,Yes,our_preprocessed_validation.csv
kiyf,Picture Description,Yes,our_preprocessed_train.csv
kjke,Picture Description,Yes,our_preprocessed_validation.csv
kkbg,Picture Description,Yes,our_preprocessed_train.csv
kkbu,Picture Description,Yes,our_preprocessed_train.csv
kkkl,Voice Assistant,Yes,our_preprocessed_train.csv
kkvv,Picture Description,Yes,our_preprocessed_validation.csv
klbu,Picture Description,Yes,our_preprocessed_validation.csv
klgz,Picture Description,Yes,our_preprocessed_train.csv
klrf,Sentence Reading,Yes,our_preprocessed_train.csv
klzj,Sentence Reading,Yes,our_preprocessed_train.csv
klzk,Voice Assistant,Yes,our_preprocessed_train.csv
kmnc,Picture Description,Yes,our_preprocessed_validation.csv
kmup,Picture Description,Yes,our_preprocessed_train.csv
kmvd,Picture Description,Yes,our_preprocessed_test.csv
knon,Sentence Reading,Yes,our_preprocessed_test.csv
knrh,Picture Description,Yes,our_preprocessed_train.csv
knsf,Picture Description,Yes,our_preprocessed_test.csv
koel,Sentence Reading,Yes,our_preprocessed_validation.csv
kojw,Picture Description,Yes,our_preprocessed_train.csv
kona,Sentence Reading,Yes,our_preprocessed_train.csv
koox,Picture Description,Yes,our_preprocessed_train.csv
kozv,Picture Description,Yes,our_preprocessed_train.csv
kpai,Picture Description,Yes,our_preprocessed_validation.csv
kpcc,Picture Description,Yes,our_preprocessed_train.csv
kper,Picture Description,Yes,our_preprocessed_test.csv
kqay,Voice Assistant,Yes,our_preprocessed_train.csv
kqfj,Picture Description,Yes,our_preprocessed_test.csv
kqup,Picture Description,Yes,our_preprocessed_test.csv
kqyv,Picture Description,Yes,our_preprocessed_train.csv
krkn,Sentence Reading,Yes,our_preprocessed_train.csv
krlh,Sentence Reading,Yes,our_preprocessed_test.csv
krpx,Picture Description,Yes,our_preprocessed_train.csv
kryh,Picture Description,Yes,our_preprocessed_train.csv
ksax,Picture Description,Yes,our_preprocessed_train.csv
ksig,Picture Description,Yes,our_preprocessed_test.csv
ksuq,Picture Description,Yes,our_preprocessed_train.csv
ksyn,Picture Description,Yes,our_preprocessed_train.csv
ktat,Picture Description,Yes,our_preprocessed_test.csv
ktja,Picture Description,Yes,our_preprocessed_test.csv
ktsg,Picture Description,Yes,our_preprocessed_test.csv
kuew,Picture Description,Yes,our_preprocessed_train.csv
kuiz,Picture Description,Yes,our_preprocessed_train.csv
kukq,Sentence Reading,Yes,our_preprocessed_train.csv
kusx,Picture Description,Yes,our_preprocessed_train.csv
kuzt,Sentence Reading,Yes,our_preprocessed_train.csv
kvfz,Sentence Reading,Yes,our_preprocessed_test.csv
kwdh,Picture Description,Yes,our_preprocessed_test.csv
kwlj,Picture Description,Yes,our_preprocessed_train.csv
kwqg,Picture Description,Yes,our_preprocessed_train.csv
kxfc,Sentence Reading,Yes,our_preprocessed_test.csv
kxmn,Sentence Reading,Yes,our_preprocessed_train.csv
kxos,Picture Description,Yes,our_preprocessed_train.csv
kxpe,Picture Description,Yes,our_preprocessed_train.csv
kxph,Picture Description,Yes,our_preprocessed_validation.csv
kyiv,Picture Description,Yes,our_preprocessed_train.csv
kyms,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
kytt,Picture Description,Yes,our_preprocessed_test.csv
kzaa,Picture Description,Yes,our_preprocessed_train.csv
kzja,Picture Description,Yes,our_preprocessed_test.csv
kzkr,Picture Description,Yes,our_preprocessed_validation.csv
laek,Picture Description,Yes,our_preprocessed_train.csv
laln,Picture Description,Yes,our_preprocessed_train.csv
laum,Picture Description,Yes,our_preprocessed_train.csv
lazn,Picture Description,Yes,our_preprocessed_train.csv
lbjl,Picture Description,Yes,our_preprocessed_train.csv
lbjz,Picture Description,Yes,our_preprocessed_train.csv
lbku,Picture Description,Yes,our_preprocessed_validation.csv
lbnr,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
lcqx,Picture Description,Yes,our_preprocessed_test.csv
lctq,Picture Description,Yes,our_preprocessed_train.csv
ldml,Voice Assistant,Yes,our_preprocessed_train.csv
ldqt,Picture Description,Yes,our_preprocessed_train.csv
lduc,Picture Description,Yes,our_preprocessed_test.csv
ldug,Picture Description,Yes,our_preprocessed_validation.csv
lebi,Picture Description,Yes,our_preprocessed_train.csv
lecw,Picture Description,Yes,our_preprocessed_validation.csv
lekv,Picture Description,Yes,our_preprocessed_train.csv
lfal,Picture Description,Yes,our_preprocessed_test.csv
lfpi,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
lgcr,Sentence Reading,Yes,our_preprocessed_train.csv
lgid,Semantic Verbal Fluency,Yes,our_preprocessed_test.csv
lgmc,Picture Description,Yes,our_preprocessed_test.csv
lgve,Picture Description,Yes,our_preprocessed_train.csv
lhcy,Picture Description,Yes,our_preprocessed_train.csv
lhdj,Picture Description,Yes,our_preprocessed_train.csv
lhky,Picture Description,Yes,our_preprocessed_train.csv
lhpl,Picture Description,Yes,our_preprocessed_train.csv
lhrb,Sentence Reading,Yes,our_preprocessed_train.csv
liij,Picture Description,Yes,our_preprocessed_test.csv
liql,Picture Description,Yes,our_preprocessed_validation.csv
liya,Personal Narrative,Yes,our_preprocessed_validation.csv
ljpj,Picture Description,Yes,our_preprocessed_train.csv
ljrv,Picture Description,Yes,our_preprocessed_train.csv
ljyz,Picture Description,Yes,our_preprocessed_validation.csv
lkie,Picture Description,Yes,our_preprocessed_test.csv
lkka,Sentence Reading,Yes,our_preprocessed_train.csv
lkoj,Picture Description,Yes,our_preprocessed_train.csv
llfa,Sentence Reading,Yes,our_preprocessed_train.csv
llkz,Picture Description,Yes,our_preprocessed_train.csv
llnv,Picture Description,Yes,our_preprocessed_train.csv
lmeq,Picture Description,Yes,our_preprocessed_train.csv
lmwe,Voice Assistant,Yes,our_preprocessed_train.csv
lnle,Picture Description,Yes,our_preprocessed_train.csv
lnly,Picture Description,Yes,our_preprocessed_train.csv
lntf,Personal Narrative,Yes,our_preprocessed_train.csv
lolv,Picture Description,Yes,our_preprocessed_validation.csv
lovi,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
lpyc,Picture Description,Yes,our_preprocessed_test.csv
lqvk,Sentence Reading,Yes,our_preprocessed_train.csv
lqwn,Picture Description,Yes,our_preprocessed_validation.csv
lrcz,Sentence Reading,Yes,our_preprocessed_train.csv
lrzy,Picture Description,Yes,our_preprocessed_train.csv
lskc,Picture Description,Yes,our_preprocessed_train.csv
lsoz,Sentence Reading,Yes,our_preprocessed_train.csv
lstp,Picture Description,Yes,our_preprocessed_validation.csv
lsxt,Picture Description,Yes,our_preprocessed_train.csv
lsys,Voice Assistant,Yes,our_preprocessed_test.csv
ltbw,Picture Description,Yes,our_preprocessed_train.csv
ltvd,Picture Description,Yes,our_preprocessed_train.csv
luhs,Picture Description,Yes,our_preprocessed_train.csv
lunm,Other,Yes,our_preprocessed_train.csv
lunv,Voice Assistant,Yes,our_preprocessed_validation.csv
lusr,Other,Yes,our_preprocessed_validation.csv
luxv,Picture Description,Yes,our_preprocessed_validation.csv
lvap,Picture Description,Yes,our_preprocessed_train.csv
lvch,Picture Description,Yes,our_preprocessed_train.csv
lvcr,Picture Description,Yes,our_preprocessed_train.csv
lvfu,Picture Description,Yes,our_preprocessed_test.csv
lvrr,Picture Description,Yes,our_preprocessed_train.csv
lvtb,Picture Description,Yes,our_preprocessed_train.csv
lvtd,Picture Description,Yes,our_preprocessed_train.csv
lvvk,Sentence Reading,Yes,our_preprocessed_train.csv
lvvp,Picture Description,Yes,our_preprocessed_train.csv
lvzm,Picture Description,Yes,our_preprocessed_train.csv
lwbo,Picture Description,Yes,our_preprocessed_train.csv
lweq,Picture Description,Yes,our_preprocessed_train.csv
lwpn,Semantic Verbal Fluency,No,our_preprocessed_train.csv
lwvt,Voice Assistant,Yes,our_preprocessed_train.csv
lwxg,Picture Description,Yes,our_preprocessed_train.csv
lxbg,Picture Description,Yes,our_preprocessed_test.csv
lxee,Picture Description,Yes,our_preprocessed_train.csv
lxlq,Picture Description,Yes,our_preprocessed_train.csv
lxri,Sentence Reading,Yes,our_preprocessed_train.csv
lxug,Picture Description,Yes,our_preprocessed_train.csv
lypr,Picture Description,Yes,our_preprocessed_test.csv
lzle,Picture Description,Yes,our_preprocessed_train.csv
manc,Picture Description,Yes,our_preprocessed_train.csv
mapx,Picture Description,Yes,our_preprocessed_validation.csv
maxj,Picture Description,Yes,our_preprocessed_train.csv
mbzl,Picture Description,Yes,our_preprocessed_test.csv
mciv,Sentence Reading,Yes,our_preprocessed_train.csv
mclt,Picture Description,Yes,our_preprocessed_train.csv
mcnp,Sentence Reading,Yes,our_preprocessed_train.csv
mcuf,Sentence Reading,Yes,our_preprocessed_train.csv
mdgc,Picture Description,Yes,our_preprocessed_train.csv
mdif,Picture Description,Yes,our_preprocessed_train.csv
mdit,Picture Description,Yes,our_preprocessed_test.csv
mdvx,Picture Description,Yes,our_preprocessed_test.csv
mefx,Picture Description,Yes,our_preprocessed_train.csv
megp,Picture Description,Yes,our_preprocessed_train.csv
meos,Picture Description,Yes,our_preprocessed_test.csv
meps,Personal Narrative,Yes,our_preprocessed_validation.csv
meqh,Sentence Reading,Yes,our_preprocessed_train.csv
mfai,Picture Description,Yes,our_preprocessed_train.csv
mfdl,Sentence Reading,Yes,our_preprocessed_train.csv
mfiz,Picture Description,Yes,our_preprocessed_train.csv
mfmy,Personal Narrative,Yes,our_preprocessed_validation.csv
mfnf,Other,Yes,our_preprocessed_train.csv
mfpp,Picture Description,Yes,our_preprocessed_test.csv
mfqq,Picture Description,Yes,our_preprocessed_test.csv
mgcf,Picture Description,Yes,our_preprocessed_train.csv
mgfh,Picture Description,Yes,our_preprocessed_train.csv
mgiy,Picture Description,Yes,our_preprocessed_train.csv
mgmw,Picture Description,Yes,our_preprocessed_validation.csv
mgqe,Picture Description,Yes,our_preprocessed_train.csv
mgzz,Story Recall,Yes,our_preprocessed_train.csv
mhao,Picture Description,Yes,our_preprocessed_train.csv
mhiu,Sentence Reading,Yes,our_preprocessed_test.csv
mhxr,Picture Description,Yes,our_preprocessed_validation.csv
mivf,Picture Description,Yes,our_preprocessed_test.csv
mjgl,Picture Description,Yes,our_preprocessed_test.csv
mjqh,Picture Description,Yes,our_preprocessed_validation.csv
mjrf,Picture Description,Yes,our_preprocessed_train.csv
mjxf,Sentence Reading,Yes,our_preprocessed_train.csv
mjxq,Picture Description,Yes,our_preprocessed_train.csv
mkgw,Picture Description,Yes,our_preprocessed_validation.csv
mkmt,Picture Description,Yes,our_preprocessed_validation.csv
mksq,Picture Description,Yes,our_preprocessed_train.csv
mkya,Picture Description,Yes,our_preprocessed_train.csv
mmck,Story Recall,Yes,our_preprocessed_train.csv
mmcr,Picture Description,Yes,our_preprocessed_train.csv
mmvi,Sentence Reading,Yes,our_preprocessed_validation.csv
mmxq,Picture Description,Yes,our_preprocessed_train.csv
mouc,Sentence Reading,Yes,our_preprocessed_train.csv
moyb,Sentence Reading,Yes,our_preprocessed_train.csv
mphi,Picture Description,Yes,our_preprocessed_train.csv
mpil,Picture Description,Yes,our_preprocessed_test.csv
mpuj,Sentence Reading,Yes,our_preprocessed_train.csv
mpws,Picture Description,Yes,our_preprocessed_train.csv
mqap,Picture Description,Yes,our_preprocessed_train.csv
mqgy,Picture Description,Yes,our_preprocessed_test.csv
mqic,Picture Description,Yes,our_preprocessed_validation.csv
mqlv,Picture Description,Yes,our_preprocessed_train.csv
mqug,Sentence Reading,Yes,our_preprocessed_train.csv
mqvp,Picture Description,Yes,our_preprocessed_test.csv
mrah,Picture Description,Yes,our_preprocessed_test.csv
mrgm,Picture Description,Yes,our_preprocessed_train.csv
mrll,Sentence Reading,Yes,our_preprocessed_train.csv
mryi,Voice Assistant,Yes,our_preprocessed_train.csv
msku,Picture Description,Yes,our_preprocessed_validation.csv
msql,Picture Description,Yes,our_preprocessed_test.csv
mtbm,Picture Description,Yes,our_preprocessed_train.csv
